transaction_number,transaction_date,transaction_type,transaction_description,debit_amount,credit_amount,balance,category,location_city,location_country,amount,direction
5997,2016-09-03,DD,LV LIFE,37.12,,12918.41,Insurance,Swansea,UK,37.12,debit
5998,2016-09-03,BP,SAVE THE CHANGE,0.58,,12955.53,Savings,Swansea,UK,0.58,debit
5999,2016-08-03,DEB,AMAZON MKTPLACE PM,12.42,,12956.11,Amazon,Swansea,UK,12.42,debit
6000,2016-07-03,BP,SAVE THE CHANGE,0.43,,12968.53,Savings,Swansea,UK,0.43,debit
6001,2016-04-03,DEB,NON-STG PURCH FEE,1.0,,12968.96,Others,Swansea,UK,1.0,debit
6002,2016-04-03,DEB,NON-STG TRANS FEE,0.1,,12969.96,Others,Swansea,UK,0.1,debit
6003,2016-04-03,DEB,ACTBLUE*BERNIE.SAN,3.57,,12970.06,Services,Swansea,UK,3.57,debit
6004,2016-04-03,CPT,LOYD WALES UNIV SW,50.0,,12973.63,Cash,Swansea,UK,50.0,debit
6005,2016-04-03,BP,SAVE THE CHANGE,0.55,,13023.63,Savings,Swansea,UK,0.55,debit
6006,2016-03-03,DEB,JS ONLINE GROCERY,241.45,,13024.18,Groceries,Swansea,UK,241.45,debit
6007,2016-03-03,DD,ASSURANT INTER LTD,35.56,,13265.63,Insurance,Swansea,UK,35.56,debit
6008,2016-03-03,BP,SAVE THE CHANGE,0.51,,13301.19,Savings,Swansea,UK,0.51,debit
6009,2016-02-03,DEB,Amazon UK Retail,10.49,,13301.7,Amazon,Swansea,UK,10.49,debit
6010,2016-02-03,TFR,F/FLOW UNIVERSITY,,907.92,13312.19,Supplementary Income,Swansea,UK,907.92,credit
6011,2016-02-03,BP,SAVE THE CHANGE,0.05,,12404.27,Savings,Swansea,UK,0.05,debit
6012,2016-01-03,FEE,ACCOUNT FEE,9.95,,12404.32,Bills,Swansea,UK,9.95,debit
6013,2016-01-03,Unknown,INTEREST (NET),,4.74,12414.27,Interest,Swansea,UK,4.74,credit
6014,2016-01-03,DEB,Amazon UK Marketpl,49.95,,12409.53,Amazon,Swansea,UK,49.95,debit
6015,2016-01-03,DD,NATWEST BANK,828.49,,12459.48,Mortgage,Swansea,UK,828.49,debit
6016,2016-01-03,DD,GOOD ENERGY GAS,43.0,,13287.97,Bills,Swansea,UK,43.0,debit
6017,2016-01-03,DD,DWR CYMRU W WATER,14.5,,13330.97,Bills,Swansea,UK,14.5,debit
6018,2016-01-03,DD,GOOD ENERGY LTD,13.0,,13345.47,Bills,Swansea,UK,13.0,debit
6019,2016-01-03,DD,TV LICENCE MBP,12.12,,13358.47,Bills,Swansea,UK,12.12,debit
6020,2016-01-03,SO,ESAVINGS ACCOUNT,300.0,,13370.59,Savings,Swansea,UK,300.0,debit
6021,2016-02-29,DEB,IKEA ONLINE,98.0,,13670.59,Other Shopping,Unknown,Unknown,98.0,debit
6022,2016-02-29,DD,UNIV & COL UNION,22.37,,13768.59,Services,Swansea,UK,22.37,debit
6023,2016-02-29,BGC,SWANSEA UNIVERSITY,,3127.28,13790.96,Supplementary Income,Swansea,UK,3127.28,credit
6024,2016-02-26,CPT,LOYD WALES UNIV SW,50.0,,10663.68,Cash,Swansea,UK,50.0,debit
6025,2016-02-26,BGC,SWANSEA UNIVERSITY,,964.6,10713.68,Supplementary Income,Swansea,UK,964.6,credit
6026,2016-02-25,CHQ,44,50.0,,9749.08,Cash,Unknown,Unknown,50.0,debit
6027,2016-02-24,BP,SAVE THE CHANGE,0.01,,9799.08,Savings,Swansea,UK,0.01,debit
6028,2016-02-23,DEB,Amazon UK Retail,11.99,,9799.09,Amazon,Swansea,UK,11.99,debit
6029,2016-02-23,CPT,LOYD WALES UNIV SW,40.0,,9811.08,Cash,Swansea,UK,40.0,debit
6030,2016-02-23,FPO,A.MEADOWCROFT,65.0,,9851.08,Services,Swansea,UK,65.0,debit
6031,2016-02-23,BP,SAVE THE CHANGE,0.56,,9916.08,Savings,Swansea,UK,0.56,debit
6032,2016-02-22,DEB,Amazon UK Marketpl,37.69,,9916.64,Amazon,Swansea,UK,37.69,debit
6033,2016-02-22,DEB,Amazon UK Retail,10.0,,9954.33,Amazon,Swansea,UK,10.0,debit
6034,2016-02-22,DEB,Amazon UK Marketpl,4.75,,9964.33,Amazon,Swansea,UK,4.75,debit
6035,2016-02-22,DD,VIRGIN MEDIA PYMTS,27.99,,9969.08,Bills,Nottingham,UK,27.99,debit
6036,2016-02-19,CPT,LOYD WALES UNIV SW,30.0,,9997.07,Cash,Swansea,UK,30.0,debit
6037,2016-02-19,BP,SAVE THE CHANGE,0.67,,10027.07,Savings,Swansea,UK,0.67,debit
6038,2016-02-18,DEB,Amazon UK Marketpl,12.99,,10027.74,Amazon,Swansea,UK,12.99,debit
6039,2016-02-18,DEB,Amazon UK Marketpl,1.34,,10040.73,Amazon,Swansea,UK,1.34,debit
6040,2016-02-18,BP,SAVE THE CHANGE,1.35,,10042.07,Savings,Swansea,UK,1.35,debit
6041,2016-02-17,DEB,ARRIVA TRAINS WALE,73.5,,10043.42,Travel,Unknown,Unknown,73.5,debit
6042,2016-02-17,DEB,Amazon UK Marketpl,21.16,,10116.92,Amazon,Swansea,UK,21.16,debit
6043,2016-02-17,DEB,Amazon UK Marketpl,19.99,,10138.08,Amazon,Swansea,UK,19.99,debit
6044,2016-02-16,CPT,LNK ARRIVA TRAINS,50.0,,10158.07,Cash,Unknown,Unknown,50.0,debit
6045,2016-02-16,DD,O2,18.92,,10208.07,Other Shopping,Swansea,UK,18.92,debit
6046,2016-02-16,BP,SAVE THE CHANGE,0.92,,10226.99,Savings,Swansea,UK,0.92,debit
6047,2016-02-15,DEB,Amazon UK Retail,21.09,,10227.91,Amazon,Swansea,UK,21.09,debit
6048,2016-02-15,DEB,Amazon UK Retail,7.0,,10249.0,Amazon,Swansea,UK,7.0,debit
6049,2016-02-15,DEB,Amazon UK Marketpl,3.99,,10256.0,Amazon,Swansea,UK,3.99,debit
6050,2016-02-15,DEP,SWANSEA UNIVERSITY,,18.0,10259.99,Supplementary Income,Swansea,UK,18.0,credit
6051,2016-12-02,CPT,LOYD WALES UNIV SW,20.0,,10241.99,Cash,Swansea,UK,20.0,debit
6052,2016-11-02,CPT,LOYD WALES UNIV SW,40.0,,10261.99,Cash,Swansea,UK,40.0,debit
6053,2016-10-02,BP,SAVE THE CHANGE,0.01,,10301.99,Savings,Swansea,UK,0.01,debit
6054,2016-09-02,DEB,Amazon UK Retail,17.99,,10302.0,Amazon,Swansea,UK,17.99,debit
6055,2016-09-02,DEB,Amazon UK Retail,5.0,,10319.99,Amazon,Swansea,UK,5.0,debit
6056,2016-08-02,DD,LV LIFE,37.12,,10324.99,Insurance,Swansea,UK,37.12,debit
6057,2016-08-02,FPO,A.MEADOWCROFT,90.0,,10362.11,Services,Swansea,UK,90.0,debit
6058,2016-05-02,CPT,LOYD WALES UNIV SW,100.0,,10452.11,Cash,Swansea,UK,100.0,debit
6059,2016-04-02,CPT,LOYD WALES UNIV SW,100.0,,10552.11,Cash,Swansea,UK,100.0,debit
6060,2016-04-02,BP,SAVE THE CHANGE,0.25,,10652.11,Savings,Swansea,UK,0.25,debit
6061,2016-03-02,DEB,Amazon UK Marketpl,8.75,,10652.36,Amazon,Swansea,UK,8.75,debit
6062,2016-03-02,DD,ASSURANT INTER LTD,35.56,,10661.11,Insurance,Swansea,UK,35.56,debit
6063,2016-02-02,CPT,LOYD WALES UNIV SW,50.0,,10696.67,Cash,Swansea,UK,50.0,debit
6064,2016-02-02,BP,SAVE THE CHANGE,1.33,,10746.67,Savings,Swansea,UK,1.33,debit
6065,2016-01-02,FEE,ACCOUNT FEE,9.95,,10748.0,Bills,Swansea,UK,9.95,debit
6066,2016-01-02,Unknown,INTEREST (NET),,4.57,10757.95,Interest,Swansea,UK,4.57,credit
6067,2016-01-02,DEB,Amazon UK Marketpl,26.55,,10753.38,Amazon,Swansea,UK,26.55,debit
6068,2016-01-02,DEB,Amazon UK Marketpl,19.28,,10779.93,Amazon,Swansea,UK,19.28,debit
6069,2016-01-02,DEB,Amazon UK Marketpl,9.84,,10799.21,Amazon,Swansea,UK,9.84,debit
6070,2016-01-02,DD,NATWEST BANK,828.49,,10809.05,Mortgage,Swansea,UK,828.49,debit
6071,2016-01-02,DD,CC SWANSEA C.TAX,122.0,,11637.54,Bills,Swansea,UK,122.0,debit
6072,2016-01-02,DD,GOOD ENERGY GAS,43.0,,11759.54,Bills,Swansea,UK,43.0,debit
6073,2016-01-02,DD,DWR CYMRU W WATER,14.5,,11802.54,Bills,Swansea,UK,14.5,debit
6074,2016-01-02,DD,GOOD ENERGY LTD,13.0,,11817.04,Bills,Swansea,UK,13.0,debit
6075,2016-01-02,DD,TV LICENCE MBP,12.12,,11830.04,Bills,Swansea,UK,12.12,debit
6076,2016-01-02,SO,ESAVINGS ACCOUNT,300.0,,11842.16,Savings,Swansea,UK,300.0,debit
6077,2016-01-02,BP,SAVE THE CHANGE,0.85,,12142.16,Savings,Swansea,UK,0.85,debit
6078,2016-01-29,DEB,Amazon UK Marketpl,1.15,,12143.01,Amazon,Swansea,UK,1.15,debit
6079,2016-01-29,CPT,LOYD WALES UNIV SW,50.0,,12144.16,Cash,Swansea,UK,50.0,debit
6080,2016-01-29,DD,UNIV & COL UNION,22.37,,12194.16,Services,Swansea,UK,22.37,debit
6081,2016-01-29,BGC,SWANSEA UNIVERSITY,,3126.88,12216.53,Supplementary Income,Swansea,UK,3126.88,credit
6082,2016-01-27,BP,SAVE THE CHANGE,1.32,,9089.65,Savings,Swansea,UK,1.32,debit
6083,2016-01-26,DEB,Amazon UK Retail,17.17,,9090.97,Amazon,Swansea,UK,17.17,debit
6084,2016-01-26,DEB,Amazon UK Marketpl,9.99,,9108.14,Amazon,Swansea,UK,9.99,debit
6085,2016-01-26,DEB,Amazon UK Marketpl,7.98,,9118.13,Amazon,Swansea,UK,7.98,debit
6086,2016-01-26,DEB,Amazon UK Marketpl,5.9,,9126.11,Amazon,Swansea,UK,5.9,debit
6087,2016-01-26,DEB,Amazon UK Marketpl,3.64,,9132.01,Amazon,Swansea,UK,3.64,debit
6088,2016-01-26,CPT,LOYD WALES UNIV SW,50.0,,9135.65,Cash,Swansea,UK,50.0,debit
6089,2016-01-25,BP,SAVE THE CHANGE,0.39,,9185.65,Savings,Swansea,UK,0.39,debit
6090,2016-01-22,DEB,NON-STG PURCH FEE,1.0,,9186.04,Others,Swansea,UK,1.0,debit
6091,2016-01-22,DEB,NON-STG TRANS FEE,20.41,,9187.04,Others,Swansea,UK,20.41,debit
6092,2016-01-22,DEB,HILTON HTL UNIV OF,682.61,,9207.45,Travel,Unknown,Unknown,682.61,debit
6093,2016-01-21,DD,VIRGIN MEDIA PYMTS,16.91,,9890.06,Bills,Nottingham,UK,16.91,debit
6094,2016-01-21,DEB,NON-STG CASH FEE,2.0,,9906.97,Others,Swansea,UK,2.0,debit
6095,2016-01-21,DEB,NON-STG TRANS FEE,2.16,,9908.97,Others,Swansea,UK,2.16,debit
6096,2016-01-21,DEB,*UNIVERSITY OF HOU,72.51,,9911.13,Travel,Houston,USA,72.51,debit
6097,2016-01-20,BP,SAVE THE CHANGE,0.55,,9983.64,Savings,Swansea,UK,0.55,debit
6098,2016-01-19,DEB,NON-STG PURCH FEE,1.0,,9984.19,Others,Swansea,UK,1.0,debit
6099,2016-01-19,DEB,NON-STG TRANS FEE,0.52,,9985.19,Others,Swansea,UK,0.52,debit
6100,2016-01-19,DEB,UNITED  016260,17.45,,9985.71,Travel,Unknown,Unknown,17.45,debit
6101,2016-01-19,BP,SAVE THE CHANGE,0.8,,10003.16,Savings,Swansea,UK,0.8,debit
6102,2016-01-18,DEB,NON-STG PURCH FEE,1.0,,10003.96,Others,Swansea,UK,1.0,debit
6103,2016-01-18,DEB,NON-STG TRANS FEE,4.55,,10004.96,Others,Swansea,UK,4.55,debit
6104,2016-01-18,DEB,HOLIDAY INN HOUSTO,152.2,,10009.51,Hotels,Unknown,Unknown,152.2,debit
6105,2016-01-18,DD,O2,16.62,,10161.71,Other Shopping,Swansea,UK,16.62,debit
6106,2016-12-01,BP,SAVE THE CHANGE,1.94,,10178.33,Savings,Swansea,UK,1.94,debit
6107,2016-11-01,DEB,NON-STG PURCH FEE,1.0,,10180.27,Others,Swansea,UK,1.0,debit
6108,2016-11-01,DEB,NON-STG TRANS FEE,0.55,,10181.27,Others,Swansea,UK,0.55,debit
6109,2016-11-01,DEB,HOUSTON GEORGE BUS,18.59,,10181.82,Travel,Huston,USA,18.59,debit
6110,2016-11-01,DEB,NON-STG PURCH FEE,1.0,,10200.41,Others,Swansea,UK,1.0,debit
6111,2016-11-01,DEB,NON-STG TRANS FEE,0.51,,10201.41,Others,Swansea,UK,0.51,debit
6112,2016-11-01,DEB,UNITED  016260,17.18,,10201.92,Travel,Unknown,Unknown,17.18,debit
6113,2016-11-01,DEB,Amazon UK Marketpl,14.29,,10219.1,Amazon,Swansea,UK,14.29,debit
6114,2016-11-01,BP,SAVE THE CHANGE,0.16,,10233.39,Savings,Swansea,UK,0.16,debit
6115,2016-08-01,DEB,Amazon UK Retail,34.99,,10233.55,Amazon,Swansea,UK,34.99,debit
6116,2016-08-01,DEB,Amazon UK Marketpl,7.85,,10268.54,Amazon,Swansea,UK,7.85,debit
6117,2016-08-01,CPT,LOYD WALES UNIV SW,40.0,,10276.39,Cash,Swansea,UK,40.0,debit
6118,2016-08-01,DD,LV LIFE,37.12,,10316.39,Insurance,Swansea,UK,37.12,debit
6119,2016-08-01,BP,SAVE THE CHANGE,1.2,,10353.51,Savings,Swansea,UK,1.2,debit
6120,2016-07-01,DEB,JS ONLINE GROCERY,231.6,,10354.71,Groceries,Swansea,UK,231.6,debit
6121,2016-07-01,DEB,AMAZON MKTPLACE PM,16.2,,10586.31,Amazon,Swansea,UK,16.2,debit
6122,2016-07-01,CPT,LOYD WALES UNIV SW,100.0,,10602.51,Cash,Swansea,UK,100.0,debit
6123,2016-07-01,BP,SAVE THE CHANGE,0.77,,10702.51,Savings,Swansea,UK,0.77,debit
6124,2016-06-01,DEB,Amazon UK Marketpl,11.75,,10703.28,Amazon,Swansea,UK,11.75,debit
6125,2016-06-01,DEB,Amazon UK Marketpl,5.5,,10715.03,Amazon,Swansea,UK,5.5,debit
6126,2016-06-01,DEB,Amazon UK Marketpl,3.98,,10720.53,Amazon,Swansea,UK,3.98,debit
6127,2016-05-01,CPT,LOYD WALES UNIV SW,100.0,,10724.51,Cash,Swansea,UK,100.0,debit
6128,2016-05-01,BP,SAVE THE CHANGE,0.15,,10824.51,Savings,Swansea,UK,0.15,debit
6129,2016-04-01,FEE,ACCOUNT FEE,9.95,,10824.66,Bills,Swansea,UK,9.95,debit
6130,2016-04-01,Unknown,INTEREST (NET),,5.56,10834.61,Interest,Swansea,UK,5.56,credit
6131,2016-04-01,DEB,Amazon UK Retail,8.99,,10829.05,Amazon,Swansea,UK,8.99,debit
6132,2016-04-01,DEB,Amazon UK Marketpl,1.86,,10838.04,Amazon,Swansea,UK,1.86,debit
6133,2016-04-01,DD,NATWEST BANK,828.49,,10839.9,Mortgage,Swansea,UK,828.49,debit
6134,2016-04-01,DD,CC SWANSEA C.TAX,122.0,,11668.39,Bills,Swansea,UK,122.0,debit
6135,2016-04-01,DD,GOOD ENERGY GAS,43.0,,11790.39,Bills,Swansea,UK,43.0,debit
6136,2016-04-01,DD,ASSURANT INTER LTD,35.56,,11833.39,Insurance,Swansea,UK,35.56,debit
6137,2016-04-01,DD,DWR CYMRU W WATER,14.5,,11868.95,Bills,Swansea,UK,14.5,debit
6138,2016-04-01,DD,GOOD ENERGY LTD,13.0,,11883.45,Bills,Swansea,UK,13.0,debit
6139,2016-04-01,DD,TV LICENCE MBP,12.12,,11896.45,Bills,Swansea,UK,12.12,debit
6140,2016-04-01,SO,ESAVINGS ACCOUNT,300.0,,11908.57,Savings,Swansea,UK,300.0,debit
6141,2016-04-01,BP,SAVE THE CHANGE,1.97,,12208.57,Savings,Swansea,UK,1.97,debit
6142,2016-04-01,CPT,LNK THE COOPERATIV,40.0,,12210.54,Cash,Unknown,Unknown,40.0,debit
6143,2015-12-31,DEB,Amazon UK Retail,26.93,,12250.54,Amazon,Swansea,UK,26.93,debit
6144,2015-12-31,DEB,Amazon UK Retail,8.97,,12277.47,Amazon,Swansea,UK,8.97,debit
6145,2015-12-31,DEB,Amazon UK Marketpl,8.36,,12286.44,Amazon,Swansea,UK,8.36,debit
6146,2015-12-31,DEB,Amazon UK Marketpl,2.55,,12294.8,Amazon,Swansea,UK,2.55,debit
6147,2015-12-31,DEB,PAYPAL *CARL DAVIE,47.22,,12297.35,Services,Swansea,UK,47.22,debit
6148,2015-12-31,DD,UNIV & COL UNION,22.37,,12344.57,Services,Swansea,UK,22.37,debit
6149,2015-12-31,BP,SAVE THE CHANGE,3.39,,12366.94,Savings,Swansea,UK,3.39,debit
6150,2015-12-30,DEB,LUSH RETAIL LTD,47.29,,12370.33,Other Shopping,Unknown,Unknown,47.29,debit
6151,2015-12-30,DEB,SPORTSDIRECT 141,19.99,,12417.62,Other Shopping,Unknown,Unknown,19.99,debit
6152,2015-12-30,DEB,EXOTICA,13.14,,12437.61,Groceries,Swansea,UK,13.14,debit
6153,2015-12-30,DEB,Amazon UK Marketpl,6.2,,12450.75,Amazon,Swansea,UK,6.2,debit
6154,2015-12-30,DEB,Amazon UK Marketpl,4.98,,12456.95,Amazon,Swansea,UK,4.98,debit
6155,2015-12-30,DEB,Amazon Svcs Europe,3.94,,12461.93,Amazon,Swansea,UK,3.94,debit
6156,2015-12-30,DEB,Amazon Svcs Europe,2.07,,12465.87,Amazon,Swansea,UK,2.07,debit
6157,2015-12-30,BP,SAVE THE CHANGE,0.21,,12467.94,Savings,Swansea,UK,0.21,debit
6158,2015-12-29,DEB,Amazon UK Marketpl,117.99,,12468.15,Amazon,Swansea,UK,117.99,debit
6159,2015-12-29,DEB,SAINSBURYS - SWANS,22.85,,12586.14,Groceries,Swansea,UK,22.85,debit
6160,2015-12-29,DEB,Amazon UK Marketpl,32.95,,12608.99,Amazon,Swansea,UK,32.95,debit
6161,2015-12-29,DEB,CO-OP GROUP FOOD,19.0,,12641.94,Groceries,Unknown,Unknown,19.0,debit
6162,2015-12-29,DEB,Amazon UK Retail,12.0,,12660.94,Amazon,Swansea,UK,12.0,debit
6163,2015-12-24,BP,SAVE THE CHANGE,0.13,,12672.94,Savings,Swansea,UK,0.13,debit
6164,2015-12-24,BGC,SWANSEA UNIVERSITY,,1612.63,12673.07,Supplementary Income,Swansea,UK,1612.63,credit
6165,2015-12-23,DEB,Amazon UK Marketpl,1.87,,11060.44,Amazon,Swansea,UK,1.87,debit
6166,2015-12-23,BP,SAVE THE CHANGE,0.8,,11062.31,Savings,Swansea,UK,0.8,debit
6167,2015-12-22,DEB,Amazon UK Marketpl,9.2,,11063.11,Amazon,Swansea,UK,9.2,debit
6168,2015-12-22,CPT,LOYD WALES UNIV SW,50.0,,11072.31,Cash,Swansea,UK,50.0,debit
6169,2015-12-22,BP,SAVE THE CHANGE,1.54,,11122.31,Savings,Swansea,UK,1.54,debit
6170,2015-12-21,DEB,ODEON/BOOKIT,26.0,,11123.85,Entertainment,Unknown,Unknown,26.0,debit
6171,2015-12-21,DEB,Amazon UK Marketpl,17.99,,11149.85,Amazon,Swansea,UK,17.99,debit
6172,2015-12-21,DEB,UNITED AIR  016936,117.7,,11167.84,Travel,Unknown,Unknown,117.7,debit
6173,2015-12-21,DEB,Amazon UK Marketpl,29.68,,11285.54,Amazon,Swansea,UK,29.68,debit
6174,2015-12-21,DEB,GODADDY COM EUROPE,12.2,,11315.22,Others,Swansea,UK,12.2,debit
6175,2015-12-21,DEB,EXPEDIA 1104152727,10.0,,11327.42,Travel,Unknown,Unknown,10.0,debit
6176,2015-12-21,DEB,Amazon UK Marketpl,6.97,,11337.42,Amazon,Swansea,UK,6.97,debit
6177,2015-12-21,DEB,Amazon UK Marketpl,1.92,,11344.39,Amazon,Swansea,UK,1.92,debit
6178,2015-12-21,DD,VIRGIN MEDIA PYMTS,37.78,,11346.31,Bills,Nottingham,UK,37.78,debit
6179,2015-12-21,BP,SAVE THE CHANGE,1.65,,11384.09,Savings,Swansea,UK,1.65,debit
6180,2015-12-21,BGC,SWANSEA UNIVERSITY,,3127.28,11385.74,Supplementary Income,Swansea,UK,3127.28,credit
6181,2015-12-18,DEB,Amazon UK Marketpl,4.28,,8258.46,Amazon,Swansea,UK,4.28,debit
6182,2015-12-18,DEB,Amazon UK Marketpl,1.07,,8262.74,Amazon,Swansea,UK,1.07,debit
6183,2015-12-17,BP,SAVE THE CHANGE,0.01,,8263.81,Savings,Swansea,UK,0.01,debit
6184,2015-12-16,DEB,Amazon UK Marketpl,9.99,,8263.82,Amazon,Swansea,UK,9.99,debit
6185,2015-12-16,CPT,LOYD WALES UNIV SW,40.0,,8273.81,Cash,Swansea,UK,40.0,debit
6186,2015-12-16,DD,O2,17.42,,8313.81,Other Shopping,Swansea,UK,17.42,debit
6187,2015-12-16,BP,SAVE THE CHANGE,0.11,,8331.23,Savings,Swansea,UK,0.11,debit
6188,2015-12-15,DEB,PUB ON THE POND,28.99,,8331.34,Dine Out,Swansea,UK,28.99,debit
6189,2015-12-15,DEB,Amazon UK Marketpl,13.9,,8360.33,Amazon,Swansea,UK,13.9,debit
6190,2015-12-15,CPT,LOYD WALES UNIV SW,50.0,,8374.23,Cash,Swansea,UK,50.0,debit
6191,2015-12-15,BP,SAVE THE CHANGE,0.15,,8424.23,Savings,Swansea,UK,0.15,debit
6192,2015-12-14,DEB,Amazon UK Retail,21.99,,8424.38,Amazon,Swansea,UK,21.99,debit
6193,2015-12-14,DEB,Amazon Svcs Europe,5.98,,8446.37,Amazon,Swansea,UK,5.98,debit
6194,2015-12-14,DEB,Amazon UK Marketpl,7.88,,8452.35,Amazon,Swansea,UK,7.88,debit
6195,2015-12-14,DEB,WIKIMEDIA,2.0,,8460.23,Others,Swansea,UK,2.0,debit
6196,2015-12-14,BP,SAVE THE CHANGE,0.64,,8462.23,Savings,Swansea,UK,0.64,debit
6197,2015-11-12,DEB,Amazon UK Retail,119.99,,8462.87,Amazon,Swansea,UK,119.99,debit
6198,2015-11-12,DEB,SUSU TRADING LTD,44.53,,8582.86,Home Improvement,Swansea,UK,44.53,debit
6199,2015-11-12,DEB,Amazon UK Marketpl,14.85,,8627.39,Amazon,Swansea,UK,14.85,debit
6200,2015-11-12,DEB,Amazon UK Retail,3.99,,8642.24,Amazon,Swansea,UK,3.99,debit
6201,2015-10-12,CHQ,43,200.0,,8646.23,Cash,Unknown,Unknown,200.0,debit
6202,2015-10-12,BP,SAVE THE CHANGE,1.29,,8846.23,Savings,Swansea,UK,1.29,debit
6203,2015-09-12,DEB,AMAZON MKTPLACE PM,10.74,,8847.52,Amazon,Swansea,UK,10.74,debit
6204,2015-09-12,DEB,Amazon UK Marketpl,4.7,,8858.26,Amazon,Swansea,UK,4.7,debit
6205,2015-09-12,DEB,Amazon UK Marketpl,2.27,,8862.96,Amazon,Swansea,UK,2.27,debit
6206,2015-09-12,DEB,SKYPE SUBSCRIPTION,10.0,,8865.23,Bills,Swansea,UK,10.0,debit
6207,2015-09-12,DD,LV LIFE,37.12,,8875.23,Insurance,Swansea,UK,37.12,debit
6208,2015-08-12,BP,SAVE THE CHANGE,2.17,,8912.35,Savings,Swansea,UK,2.17,debit
6209,2015-07-12,DEB,Amazon UK Marketpl,23.99,,8914.52,Amazon,Swansea,UK,23.99,debit
6210,2015-07-12,DEB,Amazon UK Retail,13.36,,8938.51,Amazon,Swansea,UK,13.36,debit
6211,2015-07-12,DEB,Amazon UK Retail,11.99,,8951.87,Amazon,Swansea,UK,11.99,debit
6212,2015-07-12,DEB,Amazon UK Retail,3.87,,8963.86,Amazon,Swansea,UK,3.87,debit
6213,2015-07-12,DEB,NON-STG PURCH FEE,1.0,,8967.73,Others,Swansea,UK,1.0,debit
6214,2015-07-12,DEB,NON-STG TRANS FEE,6.23,,8968.73,Others,Swansea,UK,6.23,debit
6215,2015-07-12,DEB,ACTIVATORME,208.38,,8974.96,Other Shopping,Swansea,UK,208.38,debit
6216,2015-07-12,DEB,Amazon UK Marketpl,9.24,,9183.34,Amazon,Swansea,UK,9.24,debit
6217,2015-07-12,BP,SAVE THE CHANGE,1.23,,9192.58,Savings,Swansea,UK,1.23,debit
6218,2015-04-12,DEB,Amazon UK Marketpl,7.74,,9193.81,Amazon,Swansea,UK,7.74,debit
6219,2015-04-12,DEB,Amazon UK Marketpl,2.03,,9201.55,Amazon,Swansea,UK,2.03,debit
6220,2015-04-12,BP,SAVE THE CHANGE,0.8,,9203.58,Savings,Swansea,UK,0.8,debit
6221,2015-03-12,DEB,JS ONLINE GROCERY,266.6,,9204.38,Groceries,Swansea,UK,266.6,debit
6222,2015-03-12,DEB,Amazon UK Marketpl,4.6,,9470.98,Amazon,Swansea,UK,4.6,debit
6223,2015-03-12,DD,ASSURANT INTER LTD,35.56,,9475.58,Insurance,Swansea,UK,35.56,debit
6224,2015-03-12,BP,SAVE THE CHANGE,0.17,,9511.14,Savings,Swansea,UK,0.17,debit
6225,2015-02-12,DEB,Amazon UK Marketpl,10.83,,9511.31,Amazon,Swansea,UK,10.83,debit
6226,2015-02-12,BP,SAVE THE CHANGE,1.15,,9522.14,Savings,Swansea,UK,1.15,debit
6227,2015-01-12,FEE,ACCOUNT FEE,9.95,,9523.29,Bills,Swansea,UK,9.95,debit
6228,2015-01-12,Unknown,INTEREST (NET),,4.74,9533.24,Interest,Swansea,UK,4.74,credit
6229,2015-01-12,DEB,Amazon Svcs Europe,6.6,,9528.5,Amazon,Swansea,UK,6.6,debit
6230,2015-01-12,DEB,Amazon UK Marketpl,2.25,,9535.1,Amazon,Swansea,UK,2.25,debit
6231,2015-01-12,DD,NATWEST BANK,828.49,,9537.35,Mortgage,Swansea,UK,828.49,debit
6232,2015-01-12,DD,CC SWANSEA C.TAX,122.0,,10365.84,Bills,Swansea,UK,122.0,debit
6233,2015-01-12,DD,GOOD ENERGY GAS,43.0,,10487.84,Bills,Swansea,UK,43.0,debit
6234,2015-01-12,DD,DWR CYMRU W WATER,14.5,,10530.84,Bills,Swansea,UK,14.5,debit
6235,2015-01-12,DD,GOOD ENERGY LTD,13.0,,10545.34,Bills,Swansea,UK,13.0,debit
6236,2015-01-12,DD,TV LICENCE MBP,12.18,,10558.34,Bills,Swansea,UK,12.18,debit
6237,2015-01-12,SO,ESAVINGS ACCOUNT,300.0,,10570.52,Savings,Swansea,UK,300.0,debit
6238,2015-01-12,BP,SAVE THE CHANGE,1.34,,10870.52,Savings,Swansea,UK,1.34,debit
6239,2015-11-30,DEB,Amazon UK Marketpl,11.99,,10871.86,Amazon,Swansea,UK,11.99,debit
6240,2015-11-30,DEB,Amazon UK Marketpl,6.95,,10883.85,Amazon,Swansea,UK,6.95,debit
6241,2015-11-30,DEB,Amazon UK Retail,5.49,,10890.8,Amazon,Swansea,UK,5.49,debit
6242,2015-11-30,DEB,Amazon UK Marketpl,2.99,,10896.29,Amazon,Swansea,UK,2.99,debit
6243,2015-11-30,DEB,Amazon UK Marketpl,2.24,,10899.28,Amazon,Swansea,UK,2.24,debit
6244,2015-11-30,DD,UNIV & COL UNION,22.37,,10901.52,Services,Swansea,UK,22.37,debit
6245,2015-11-30,BP,SAVE THE CHANGE,0.75,,10923.89,Savings,Swansea,UK,0.75,debit
6246,2015-11-30,BGC,SWANSEA UNIVERSITY,,3199.54,10924.64,Supplementary Income,Swansea,UK,3199.54,credit
6247,2015-11-27,DEB,SAINSBURYS - SWANS,12.25,,7725.1,Groceries,Swansea,UK,12.25,debit
